Sr.No,City/town,Federal subject,Population,Population
264,Meleuz,Republic of Bashkortostan,"62,949","61,408"
265,Salsk,Rostov Oblast,"61,775","61,312"
266,Lesosibirsk,Krasnoyarsk Krai,"65,374","61,146"
267,Gus-Khrustalny,Vladimir Oblast,"67,121","60,773"
268,Chistopol,Republic of Tatarstan,"63,029","60,703"
269,Pavlovo,Nizhny Novgorod Oblast,"64,814","60,699"
270,Chekhov,Moscow Oblast,"72,917","60,677"
271,Kotlas,Arkhangelsk Oblast,"60,647","60,562"
272,Belebey,Republic of Bashkortostan,"60,928","60,183"
273,Iskitim,Novosibirsk Oblast,"62,756","60,072"
274,Verkhnyaya Pyshma,Sverdlovsk Oblast,"58,016","59,745"
275,Krasnoturyinsk,Sverdlovsk Oblast,"64,878","59,701"
276,Apatity,Murmansk Oblast,"64,405","59,690"
277,Vsevolozhsk,Leningrad Oblast,"45,310","59,689"
278,Prokhladny,Kabardino-Balkar Republic,"61,772","59,595"
279,Mikhaylovka,Volgograd Oblast,"60,034","59,153"
280,Anapa,Krasnodar Krai,"53,493","58,983"
281,Tikhvin,Leningrad Oblast,"63,338","58,843"
282,Ivanteyevka,Moscow Oblast,"51,454","58,594"
283,Svobodny,Amur Oblast,"63,889","58,594"
284,Shuya,Ivanovo Oblast,"62,449","58,528"
285,Kogalym,Khanty-Mansi Autonomous Okrug,"55,367","58,192"
286,Shchyokino,Tula Oblast,"61,588","58,154"
287,Krymsk,Krasnodar Krai,"56,623","57,370"
288,Vyazma,Smolensk Oblast,"57,545","57,103"
289,Gorno-Altaysk,Altai Republic,"53,538","56,928"
290,Vidnoye,Moscow Oblast,"52,198","56,798"
291,Arsenyev,Primorsky Krai,"62,896","56,742"
292,Izberbash,Republic of Dagestan,"39,365","56,301"
293,Vyksa,Nizhny Novgorod Oblast,"61,657","56,196"
294,Klimovsk,Moscow Oblast,"55,644","56,113"
295,Liski,Voronezh Oblast,"55,893","55,864"
296,Volzhsk,Mari El Republic,"58,967","55,671"
297,Krasnokamensk,Zabaykalsky Krai,"55,920","55,668"
298,Zhigulyovsk,Samara Oblast,"48,770","55,560"
299,Fryazino,Moscow Oblast,"52,436","55,449"
300,Uzlovaya,Tula Oblast,"59,763","55,282"
301,Lytkarino,Moscow Oblast,"50,798","55,147"
302,Nyagan,Khanty-Mansi Autonomous Okrug,"52,610","54,903"
303,Roslavl,Smolensk Oblast,"57,701","54,898"
304,Gelendzhik,Krasnodar Krai,"50,012","54,813"
305,Timashyovsk,Krasnodar Krai,"54,116","53,921"
306,Belorechensk,Krasnodar Krai,"54,028","53,891"
307,Borovichi,Novgorod Oblast,"57,755","53,699"
308,Solnechnogorsk,Moscow Oblast,"58,374","52,996"
309,Nazarovo,Krasnoyarsk Krai,"56,539","52,829"
310,Kirishi,Leningrad Oblast,"55,634","52,826"
311,Cheremkhovo,Irkutsk Oblast,"60,107","52,650"
312,Vyshny Volochyok,Tver Oblast,"56,405","52,326"
313,Krasnokamsk,Perm Krai,"53,724","51,929"
314,Beryozovsky,Sverdlovsk Oblast,"46,744","51,583"
315,Balakhna,Nizhny Novgorod Oblast,"57,338","51,526"
316,Livny,Oryol Oblast,"52,841","50,430"
317,Lesnoy,Sverdlovsk Oblast,"53,195","50,364"
318,Donetsk,Rostov Oblast,"48,040","50,085"
319,Severomorsk,Murmansk Oblast,"55,102","50,076"
320,Sayanogorsk,Republic of Khakassia,"50,255","49,889"
321,Buguruslan,Orenburg Oblast,"53,893","49,737"
322,Kimry,Tver Oblast,"53,650","49,623"
326,Snezhinsk,Chelyabinsk Oblast,"50,451","48,896"
327,Kingisepp,Leningrad Oblast,"50,295","48,667"
328,Zarinsk,Altai Krai,"50,368","48,456"
329,Otradny,Samara Oblast,"50,048","48,359"
334,Yartsevo,Smolensk Oblast,"52,617","47,853"
342,Chusovoy,Perm Krai,"51,615","46,740"
344,Verkhnyaya Salda,Sverdlovsk Oblast,"51,195","46,240"
346,Osinniki,Kemerovo Oblast,"51,057","45,997"
349,Kanash,Chuvash Republic,"50,593","45,608"
351,Monchegorsk,Murmansk Oblast,"52,242","45,381"
355,Tulun,Irkutsk Oblast,"51,848","44,603"
357,Spassk-Dalny,Primorsky Krai,"51,691",
N/A,Talnakh,Krasnoyarsk Krai,"58,654",abolished in 2005
,,,,
For more other formats kindly visit www.downloadexcelfiles.com,,,,
